genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status,horario_local,fuso_horario,horario_brasilia,link
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Tailândia,Ucrânia,2-3,23-25,25-19,26-28,25-22,10-15,Realizado,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,18/06/2026,Ucrânia,Polônia,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,18/06/2026,Tailândia,Bulgária,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,19/06/2026,Ucrânia,Holanda,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,19/06/2026,Bulgária,Canadá,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,20/06/2026,Holanda,Polônia,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,20/06/2026,Tailândia,Canadá,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,21/06/2026,Bulgária,Ucrânia,-,,,,,,Próximo Jogo,13:00,ICT (UTC+7),03:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,21/06/2026,Canadá,Polônia,-,,,,,,Próximo Jogo,17:00,ICT (UTC+7),07:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,21/06/2026,Tailândia,Holanda,-,,,,,,Próximo Jogo,20:30,ICT (UTC+7),10:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
