genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,21/06/2026,Sérvia,EUA,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,21/06/2026,Rep. Tcheca,Rep. Dominicana,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,21/06/2026,Japão,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Canadá,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Bulgária,Polônia,0-3,,,,,,Realizado
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,17/06/2026,Tailândia,Ucrânia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,18/06/2026,Ucrânia,Polônia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,18/06/2026,Tailândia,Bulgária,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,19/06/2026,Ucrânia,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,19/06/2026,Bulgária,Canadá,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,20/06/2026,Holanda,Polônia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,20/06/2026,Tailândia,Canadá,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,21/06/2026,Bulgária,Ucrânia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,21/06/2026,Canadá,Polônia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 6 - Bangkok (THA),Bangkok - Indoor Stadium Huamark,21/06/2026,Tailândia,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,08/07/2026,França,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,08/07/2026,Rep. Tcheca,Alemanha,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,08/07/2026,Sérvia,Bulgária,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,09/07/2026,Rep. Tcheca,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,09/07/2026,Sérvia,França,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,10/07/2026,Bulgária,Rep. Tcheca,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,10/07/2026,Alemanha,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,11/07/2026,Bulgária,França,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,11/07/2026,Sérvia,Alemanha,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,12/07/2026,França,Rep. Tcheca,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,12/07/2026,Bulgária,Alemanha,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,12/07/2026,Sérvia,Holanda,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,08/07/2026,Bélgica,Rep. Dominicana,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,08/07/2026,Ucrânia,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,08/07/2026,China,Canadá,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,09/07/2026,Bélgica,Canadá,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,09/07/2026,China,Ucrânia,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,10/07/2026,Ucrânia,Rep. Dominicana,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,10/07/2026,Bélgica,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,11/07/2026,Canadá,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,11/07/2026,China,Rep. Dominicana,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,12/07/2026,Bélgica,Ucrânia,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,12/07/2026,Canadá,Rep. Dominicana,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,12/07/2026,China,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,08/07/2026,Turquia,Polônia,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,08/07/2026,Tailândia,EUA,-,,,,,,Próximo Jogo
Feminino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,08/07/2026,Japão,Brasil,-,,,,,,Próximo Jogo
