genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,25/06/2026,Irã,EUA,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,25/06/2026,França,Cuba,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,26/06/2026,Irã,Japão,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,26/06/2026,Sérvia,Cuba,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,27/06/2026,EUA,Japão,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,27/06/2026,França,Sérvia,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,28/06/2026,Irã,Cuba,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,28/06/2026,França,Japão,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 4 - Orléans (FRA),Orléans - CO'Met Arena,28/06/2026,Sérvia,EUA,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,24/06/2026,China,Turquia,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,24/06/2026,Argentina,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,24/06/2026,Polônia,Bélgica,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,25/06/2026,China,Bélgica,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,25/06/2026,Polônia,Turquia,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,26/06/2026,China,Argentina,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,26/06/2026,Bélgica,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,27/06/2026,Polônia,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,27/06/2026,Turquia,Argentina,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,28/06/2026,China,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,28/06/2026,Bélgica,Turquia,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 5 - Gliwice (POL),Gliwice - Gliwice Arena,28/06/2026,Polônia,Argentina,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,24/06/2026,Bulgária,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,24/06/2026,Ucrânia,Brasil,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,24/06/2026,Eslovênia,Canadá,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,25/06/2026,Ucrânia,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,25/06/2026,Eslovênia,Bulgária,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,26/06/2026,Ucrânia,Canadá,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,26/06/2026,Brasil,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,27/06/2026,Bulgária,Canadá,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,27/06/2026,Eslovênia,Brasil,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,28/06/2026,Bulgária,Ucrânia,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,28/06/2026,Canadá,Brasil,-,,,,,,Próximo Jogo
Masculino,Semana 2,Fase Preliminar,Pool 6 - Liubliana (SLO),Liubliana - Arena Stožice,28/06/2026,Eslovênia,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,15/07/2026,Alemanha,Eslovênia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,15/07/2026,Ucrânia,Irã,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,15/07/2026,Sérvia,Turquia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,16/07/2026,Irã,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,16/07/2026,Sérvia,Ucrânia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,17/07/2026,Turquia,Ucrânia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,17/07/2026,Irã,Eslovênia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,18/07/2026,Turquia,Eslovênia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,18/07/2026,Sérvia,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,19/07/2026,Turquia,Irã,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,19/07/2026,Ucrânia,Alemanha,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,19/07/2026,Sérvia,Eslovênia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,15/07/2026,Bulgária,Polônia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,15/07/2026,França,Brasil,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,15/07/2026,EUA,China,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,16/07/2026,China,França,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,16/07/2026,EUA,Brasil,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,17/07/2026,China,Bulgária,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,17/07/2026,Brasil,Polônia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,18/07/2026,França,Polônia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,18/07/2026,EUA,Bulgária,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,19/07/2026,China,Brasil,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,19/07/2026,Bulgária,França,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 8 - Chicago (EUA),Chicago - Now Arena,19/07/2026,EUA,Polônia,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,15/07/2026,Canadá,Argentina,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,15/07/2026,Bélgica,Cuba,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,15/07/2026,Japão,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,16/07/2026,Bélgica,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,16/07/2026,Japão,Canadá,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,17/07/2026,Cuba,Argentina,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,17/07/2026,Japão,Bélgica,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,18/07/2026,Canadá,Cuba,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,18/07/2026,Argentina,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,19/07/2026,Bélgica,Canadá,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,19/07/2026,Cuba,Itália,-,,,,,,Próximo Jogo
Masculino,Semana 3,Fase Preliminar,Pool 9 - Osaka (JPN),Osaka - Asue Arena Osaka,19/07/2026,Japão,Argentina,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,29/07/2026,QF1 (1º x 8º),TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,29/07/2026,QF2 (2º x 7º),TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,30/07/2026,QF3 (3º x 6º),TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,30/07/2026,QF4 (4º x 5º),TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,01/08/2026,SF1,TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,01/08/2026,SF2,TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,02/08/2026,Bronze,TBD,-,,,,,,Próximo Jogo
Masculino,Semana 4,Final (QF/SF/3º/Final),Final Round - Ningbo (CHN),Ningbo - Beilun Gymnasium,02/08/2026,Final (Ouro),TBD,-,,,,,,Próximo Jogo
